,ID,URL,小区名称,城市,区域,片区,参考均价,建筑年代,总栋数,总户数,开发商,物业费,物业公司,建筑类型,地址
0,1611041732220,http://cd.lianjia.com/xiaoqu/1611041732220,清水绿苑,成都,青羊,府南新区,11000,2002年建成,3栋,233户,无开发商,0.6至1.2元/平米/月,私人承办物业,板楼/塔板结合,(青羊府南新区)双清北路1号
0,1611059800828,http://cd.lianjia.com/xiaoqu/1611059800828,白领尊邸,成都,青羊,草市街,8787,2000年建成,1栋,222户,成都金鹏置业发展有限公司,1.85元/平米/月,业主自筹物业,塔板结合,(青羊草市街)西马道街32号
0,1611043863582,http://cd.lianjia.com/xiaoqu/1611043863582,中大君悦金沙四期,成都,青羊,西单,17362,2011年建成,4栋,698户,成都合力达房产开发有限公司,1.8元/平米/月,成都合力物业服务有限公司,塔楼/板楼,(青羊西单)金祥路18号
0,3011054254300,http://cd.lianjia.com/xiaoqu/3011054254300,新少城,成都,青羊,人民公园,16161,2004年建成,1栋,121户,成都佳源实业有限公司,1.5元/平米/月,街道办事处（委员会）代管物业,板楼,(青羊人民公园)蜀华街65号
0,1611041780591,http://cd.lianjia.com/xiaoqu/1611041780591,百草园,成都,青羊,府南新区,10351,2002年建成,5栋,232户,四川高达房产,0.55元/平米/月,四川嘉利来物业有限公司,板楼,(青羊府南新区)双清南路3号
0,1611047923570,http://cd.lianjia.com/xiaoqu/1611047923570,金地嘉年华城B区,成都,青羊,金沙,12341,2014年建成,4栋,562户,成都金地房屋开发有限公司,1.5至80元/平米/月,成都业汇物业管理有限责任公司,塔楼,(青羊金沙)龙嘴路236号
0,1611041826164,http://cd.lianjia.com/xiaoqu/1611041826164,香槟花园,成都,青羊,优品道,15659,2004年建成,11栋,399户,成都田园世界景华置业有限公司,1至4.5元/平米/月,成都仁和春天物业管理有限公司,板楼,(青羊优品道)瑞联路33路
0,1611059356172,http://cd.lianjia.com/xiaoqu/1611059356172,百花芳邻,成都,青羊,人民公园,14423,2000年建成,6栋,255户,无开发商,0.5元/平米/月,街道办事处（委员会）代管物业,板楼/塔板结合,(青羊人民公园)一环路西一段11号
0,3011053257596,http://cd.lianjia.com/xiaoqu/3011053257596,经天路三街（50号）,成都,锦江,琉璃场,暂无报价,暂无信息,10栋,491户,暂无信息,暂无信息,暂无信息,未知类型,(锦江琉璃场)经天路三街
0,1611044611253,http://cd.lianjia.com/xiaoqu/1611044611253,光华岁月一期,成都,青羊,光华泡小,10169,2006年建成,1栋,48户,成都齐力房地产开发公司,1.2元/平米/月,成都齐力花园物业经营有限责任公司,板楼,(青羊光华泡小)绿杨路163号
0,1611061308615,http://cd.lianjia.com/xiaoqu/1611061308615,万达公寓,成都,青羊,人民公园,12553,2000年建成,5栋,132户,无开发商,0.5元/平米/月,街道办事处（委员会）代管物业,塔板结合,(青羊人民公园)包家巷81号
0,3011056029548,http://cd.lianjia.com/xiaoqu/3011056029548,百花雅园,成都,青羊,浣花溪,17551,1991年建成,6栋,166户,成都恒金置业有限公司,0.5元/平米/月,业主自筹物业,塔楼/板楼/塔板结合,(青羊浣花溪)百花西路6号
0,1611063210428,http://cd.lianjia.com/xiaoqu/1611063210428,东原时光道,成都,青羊,万家湾,14867,2015年建成,13栋,2211户,东原地产,2.5元/平米/月,四川新东原物业服务有限公司,板楼/塔板结合,(青羊万家湾)光华大道东4路78号（万家湾公交站旁边）
0,1611041924425,http://cd.lianjia.com/xiaoqu/1611041924425,锦西民宅,成都,青羊,府南新区,11624,2000年建成,11栋,562户,成都佳美房地产开发有限公司,0.75至1.5元/平米/月,四川福满洋物业发展有限公司,板楼,(青羊府南新区)同盛路29号
0,1611043052087,http://cd.lianjia.com/xiaoqu/1611043052087,百花教师苑,成都,青羊,浣花溪,14216,2000年建成,5栋,220户,无开发商,0.8元/平米/月,私人承办物业,板楼/塔板结合,(青羊浣花溪)大石西路54号
0,1611043001887,http://cd.lianjia.com/xiaoqu/1611043001887,春语花间,成都,青羊,金沙,13331,2005年建成,15栋,224户,成都凌远房地产开发有限责任公司,1.2元/平米/月,成都中普物业管理有限公司,板楼,(青羊金沙)同怡路4号
0,1611058718107,http://cd.lianjia.com/xiaoqu/1611058718107,浣花香,成都,青羊,草堂,20003,2010年建成,2栋,832户,成都乐地投资有限公司,1至2.2元/平米/月,四川悦华置地物业管理有限公司,板楼/塔板结合,(青羊草堂)青羊上街336号
0,1611049131458,http://cd.lianjia.com/xiaoqu/1611049131458,欧韵金沙,成都,青羊,金沙,16282,2013年建成,5栋,688户,成都市兴城建实业发展有限责任公司,1.9元/平米/月,成都添和居物业管理有限公司,塔板结合,(青羊金沙)蜀辉路686号
0,3011053776089,http://cd.lianjia.com/xiaoqu/3011053776089,锦天国际,成都,青羊,太升路,11760,1990年建成,3栋,761户,成都远鸿房地产开发有限公司,2元/平米/月,业主自筹物业,板楼/塔板结合,(青羊太升路)太升南路288号
0,1611043175848,http://cd.lianjia.com/xiaoqu/1611043175848,金沙鹭岛三期,成都,青羊,西单,15919,2014年建成,6栋,1016户,成都西部金沙鹭岛房地产开发有限责任公司,1.8元/平米/月,成都喜沁金沙物业管理服务有限责任公司,塔楼,(青羊西单)金阳路369号
0,1611041556995,http://cd.lianjia.com/xiaoqu/1611041556995,左右,成都,青羊,光华泡小,7338,2010年建成,1栋,991户,成都金池房地产开发有限公司,1.2元/平米/月,成都屈氏英联华物业管理有限公司,塔楼,(青羊光华泡小)东坡北二路169号
0,1611042971234,http://cd.lianjia.com/xiaoqu/1611042971234,国嘉华庭,成都,青羊,人民公园,11656,2002年建成,1栋,429户,四川省国嘉地产有限公司,2.1元/平米/月,街道办事处（委员会）代管物业,塔楼,(青羊人民公园)锦里东路5号
0,1611058910819,http://cd.lianjia.com/xiaoqu/1611058910819,西岸蒂景,成都,青羊,八宝街,13966,2004年建成,2栋,501户,四川蓝光和骏实业股份有限公司,1.6元/平米/月,蓝光嘉宝物业管理有限公司,塔楼/板楼,(青羊八宝街)西大街88号
0,1611063890469,http://cd.lianjia.com/xiaoqu/1611063890469,长虹和悦府,成都,青羊,外光华,14016,2015年建成,7栋,2045户,成都长虹置业有限公司,2至2.18元/平米/月,四川长虹物业服务有限责任公司成都分公司,塔楼/板楼/塔板结合,(青羊外光华)光华大道一段长虹和悦府
0,1611042024482,http://cd.lianjia.com/xiaoqu/1611042024482,金沙兰亭,成都,青羊,金沙,16878,2007年建成,3栋,460户,四川成都恒立房地产开发有限公司 ,1.5元/平米/月,成都市聚鹏物业发展有限公司,塔楼/板楼,(青羊金沙)金泽路1号
0,1611041735933,http://cd.lianjia.com/xiaoqu/1611041735933,锦卉苑,成都,青羊,府南新区,8100,2000年建成,14栋,511户,中房集团成都房地产开发总公司,0.5元/平米/月, 中房物业管理,板楼,(青羊府南新区)锦翠南路2号
0,1611047974363,http://cd.lianjia.com/xiaoqu/1611047974363,心灵家园,成都,青羊,外光华,14996,2013年建成,14栋,1349户,四川阳城实业有限公司,2元/平米/月,成都合力物业服务有限公司,塔楼/板楼/塔板结合,(青羊外光华)培华路312号
0,1611061067228,http://cd.lianjia.com/xiaoqu/1611061067228,尊城国际,成都,青羊,人民公园,16967,2012年建成,1栋,659户,四川美邦实业有限公司,7.8元/平米/月,街道办事处（委员会）代管物业,板楼,"(青羊人民公园)金河路59号, 横小南街8号"
0,1611041812489,http://cd.lianjia.com/xiaoqu/1611041812489,中铁双龙湾,成都,青羊,外金沙,12779,2008年建成,5栋,743户,中铁八局集团房地产开发有限公司,1.6元/平米/月,成都鑫天禹物业管理有限公司,塔楼/塔板结合,(青羊外金沙)清水滨河路788号
0,1611041803949,http://cd.lianjia.com/xiaoqu/1611041803949,美丽朋城,成都,青羊,贝森,7501,2006年建成,2栋,375户,四川朋城实业开发有限公司,1.3至1.8元/平米/月,成都朋友物业管理有限公司,塔楼/板楼/塔板结合,(青羊贝森)东顺路174号
0,1611060141318,http://cd.lianjia.com/xiaoqu/1611060141318,冠城花园三期,成都,青羊,人民公园,12736,2008年建成,1栋,420户,成都新达房地产开发有限公司,1.5元/平米/月,街道办事处（委员会）代管物业,塔楼/板楼,(青羊人民公园)小南街123号
0,3011053813129,http://cd.lianjia.com/xiaoqu/3011053813129,童子街庭苑,成都,青羊,太升路,14695,2008年建成,5栋,1090户,四川蜀府房屋建设开发公司,1.2元/平米/月,四川蜀府东润物业服务有限公司,塔楼/板楼,(青羊太升路)童子街28号
0,1611059509904,http://cd.lianjia.com/xiaoqu/1611059509904,米兰小筑,成都,青羊,八宝街,9021,2005年建成,1栋,384户,无开发商,1元/平米/月,业主自筹物业,塔楼,(青羊八宝街)人民中路三段4号
0,1611058725981,http://cd.lianjia.com/xiaoqu/1611058725981,浣花逸景,成都,青羊,草堂,8703,2000年建成,2栋,98户,成都远鸿房地产开发有限公司,0.8至1元/平米/月,私人承办物业,板楼/塔板结合,(青羊草堂)浣花北路9号
0,3011053839948,http://cd.lianjia.com/xiaoqu/3011053839948,证大正府,成都,青羊,太升路,12411,2010年建成,2栋,528户,无开发商,2元/平米/月,业主自筹物业,塔楼/板楼,(青羊太升路)正府街172号
0,1611041924937,http://cd.lianjia.com/xiaoqu/1611041924937,新阳光健康家园,成都,青羊,贝森,10706,2001年建成,8栋,402户,成都岁宝房地产开发有限公司,1.2元/平米/月,四川东晨物业发展有限公司,板楼,(青羊贝森)苏坡东路7号
0,3011054679578,http://cd.lianjia.com/xiaoqu/3011054679578,聚星城,成都,青羊,宽窄巷子,18506,2004年建成,2栋,492户,成都汗星投资有限公司,1.5至3元/平米/月,成都堒和物业咨询发展有限公司,板楼,(青羊宽窄巷子)中同仁路8号
0,1611041869976,http://cd.lianjia.com/xiaoqu/1611041869976,鸿生花园,成都,青羊,府南新区,13298,2001年建成,3栋,576户,成都鸿生置业发展有限公司,1.2元/平米/月,成都金房物业服务有限公司,塔楼/板楼,(青羊府南新区)同德街9号
0,1611063648395,http://cd.lianjia.com/xiaoqu/1611063648395,荣盛花语城,成都,青羊,外光华,14131,2014年建成,5栋,1252户,成都荣盛房地产开发有限公司,2.18元/平米/月,廊坊荣盛物业服务有限公司成都分公司,塔楼,(青羊外光华)光华东一路75号
0,3011053918752,http://cd.lianjia.com/xiaoqu/3011053918752,万和苑,成都,青羊,八宝街,10257,1999年建成,3栋,569户,无开发商,1.5至1.7元/平米/月,业主自筹物业,塔楼/板楼,(青羊八宝街)八宝街1号
0,1611041616138,http://cd.lianjia.com/xiaoqu/1611041616138,江郊庭院,成都,青羊,光华泡小,14549,2006年建成,10栋,397户,成都川西住宅开发有限公司,1.2元/平米/月,成都世豪新瑞物业服务有限公司,板楼,(青羊光华泡小)东坡北二路46号
0,1611041622018,http://cd.lianjia.com/xiaoqu/1611041622018,龙景花园,成都,青羊,浣花溪,26461,2006年建成,14栋,340户,成都金地房屋开发有限公司,1至2元/平米/月,成都市东景物业管理有限公司,板楼,(青羊浣花溪)百卉路21号
0,3011056034557,http://cd.lianjia.com/xiaoqu/3011056034557,蓝谷领地,成都,青羊,府南新区,10177,2008年建成,1栋,153户,无开发商,1元/平米/月,蓝谷物业管理有限公司,塔楼,(青羊府南新区)石人南路1号
0,1611044653289,http://cd.lianjia.com/xiaoqu/1611044653289,成都花园朗庭园,成都,青羊,西南财大,18651,2002年建成,34栋,286户,成都花园开发建设有限公司,1.8元/平米/月,成都花园物业管理公司,板楼,(青羊西南财大)青羊大道8号
0,1611041886530,http://cd.lianjia.com/xiaoqu/1611041886530,中大君悦金沙三期,成都,青羊,西单,18032,2009年建成,4栋,566户,成都合力达房产开发有限公司,1.8元/平米/月,成都合力物业服务有限公司,塔楼,(青羊西单)金祥路15号
0,1611041619421,http://cd.lianjia.com/xiaoqu/1611041619421,金沙揽胜一期,成都,青羊,贝森,12312,2007年建成,2栋,276户,四川大陆房地产开发有限公司,1.2元/平米/月,成都维宇物业发展有限公司,塔楼,(青羊贝森)清江中路63号
0,3011054216189,http://cd.lianjia.com/xiaoqu/3011054216189,锦江时代花园,成都,青羊,人民公园,9743,2003年建成,2栋,174户,成都华明实业,0.5元/平米/月,成都新海能物业发展有限公司,板楼,(青羊人民公园)锦里西路107号
0,1611059884022,http://cd.lianjia.com/xiaoqu/1611059884022,科沁苑,成都,青羊,府南新区,8308,2001年建成,9栋,384户,中房集团成都房地产开发有限公司,0.5元/平米/月,私人承办物业,板楼,(青羊府南新区)锦屏西街1号
0,1611041867455,http://cd.lianjia.com/xiaoqu/1611041867455,贝森兴苑,成都,青羊,贝森,10290,2000年建成,11栋,876户,成都市贝森实业有限公司,0.45元/平米/月,成都五大花园物业管理有限公司,板楼/塔板结合,(青羊贝森)贝双街1号
