,ID,URL,小区名称,城市,区域,片区,参考均价,建筑年代,总栋数,总户数,开发商,物业费,物业公司,建筑类型,地址
0,1611061704298,http://cd.lianjia.com/xiaoqu/1611061704298,银石广场,成都,锦江,合江亭,暂无报价,2011年建成,3栋,1193户,暂无信息,18元/平米/月,戴德梁行物业管理有限公司,塔楼/板楼,(锦江合江亭)红星路三段99号 
0,1611060192718,http://cd.lianjia.com/xiaoqu/1611060192718,昭忠祠街56号,成都,锦江,红星路,暂无报价,1998年建成,2栋,90户,暂无信息,0.3元/平米/月,小区物管处,板楼,(锦江红星路)昭忠祠街56号
0,1611042048045,http://cd.lianjia.com/xiaoqu/1611042048045,一心桥横街27号,成都,锦江,水碾河,暂无报价,2000年建成,2栋,154户,无开发商,0.5至1.5元/平米/月,小区物管处,板楼,(锦江水碾河)一心桥横街27号
0,1612179888681909,http://cd.lianjia.com/xiaoqu/1612179888681909,净居寺路20号,成都,锦江,攀成钢,8388,暂无信息,2栋,56户,暂无信息,暂无信息,暂无信息,板楼,(锦江攀成钢)净居寺路20号
0,1612833274998768,http://cd.lianjia.com/xiaoqu/1612833274998768,绿地中心云锦468,成都,锦江,三圣乡,暂无报价,暂无信息,0栋,0户,暂无信息,暂无信息,暂无信息,未知类型,(锦江三圣乡)东大街延线地铁2号线洪河站口
0,1611042045165,http://cd.lianjia.com/xiaoqu/1611042045165,龙舟小区3号院,成都,锦江,三官堂,暂无报价,1998年建成,5栋,302户,无开发商,0.8至2元/平米/月,业主自筹物业,板楼,(锦江三官堂)龙舟小区3号院
0,3011053668900,http://cd.lianjia.com/xiaoqu/3011053668900,天涯石南街1号,成都,锦江,红星路,暂无报价,1994年建成,3栋,112户,暂无信息,暂无信息,暂无信息,板楼,(锦江红星路)天涯石南街1号
0,1611042530551,http://cd.lianjia.com/xiaoqu/1611042530551,一心桥南街75号,成都,锦江,九眼桥,暂无报价,1972年建成,4栋,155户,暂无信息,暂无信息,暂无信息,板楼,(锦江九眼桥)一心桥南街75号
0,1611042549795,http://cd.lianjia.com/xiaoqu/1611042549795,锦东路314号,成都,锦江,九眼桥,暂无报价,2000年建成,2栋,199户,无开发商,0.3元/平米/月,业主自筹物业,塔楼/板楼,(锦江九眼桥)锦东路314号
0,1611042524575,http://cd.lianjia.com/xiaoqu/1611042524575,宏济新路4号,成都,锦江,九眼桥,11685,2001年建成,12栋,462户,成都市统一建设办公室,0.5元/平米/月,私人承办物业,板楼,(锦江九眼桥)宏济新路4号
0,1611043068296,http://cd.lianjia.com/xiaoqu/1611043068296,龙舟路南街91号,成都,锦江,三官堂,9855,暂无信息,2栋,112户,暂无信息,暂无信息,小区物管处,板楼,(锦江三官堂)龙舟路南街91号
0,1611041878788,http://cd.lianjia.com/xiaoqu/1611041878788,顺江怡苑,成都,锦江,莲花,10925,暂无信息,2栋,119户,暂无信息,暂无信息,暂无信息,未知类型,(锦江莲花)莲桂西路107号
0,3011052646657,http://cd.lianjia.com/xiaoqu/3011052646657,皇经楼（2街69号）,成都,锦江,琉璃场,5406,暂无信息,6栋,2198户,暂无信息,暂无信息,暂无信息,未知类型,(锦江琉璃场)皇经楼（2街69号）
0,3011053870845,http://cd.lianjia.com/xiaoqu/3011053870845,东光街37号,成都,锦江,静居寺,8679,暂无信息,2栋,140户,暂无信息,暂无信息,暂无信息,未知类型,(锦江静居寺)东光街37号
0,3011053870845,http://cd.lianjia.com/xiaoqu/3011053870845,东光街37号,成都,锦江,静居寺,8679,暂无信息,2栋,140户,暂无信息,暂无信息,暂无信息,未知类型,(锦江静居寺)东光街37号
